,Names,Prices,Links
1,Summer Newborn Kids Baby Girls 2PCS Sets Clothes T-shirt Tops Suspenders Shorts Outfit Set,Rs838,https://www.wish.com/product/609642d2fb80dab2c9ecceab
2,Summer Kid Boys Clothes T-shirts Shorts New Children Clothing Set Cotton Kids Outfits For 2-7 Years,"Rs1,313",https://www.wish.com/product/609ce46fdbfa48722694b202
3,Christmas Baby Kids Girls Red Velvet Plush Shirt + Belt Pants + Hat Santa Claus Costume New Year Clothes for 1-7 Years,"Rs1,916",https://www.wish.com/product/619317c4a7c7f4643dbfdc59
4,Anime Nier Automata T-Shirt 3D Print XS-5XL,"Rs1,335",https://www.wish.com/product/6059bf1ae88849a382b9eccb
5,"Children's Spring, Autumn and Winter Christmas Long-sleeved Shirt + Bell Bottoms + Hat Three-piece Children's Clothing","Rs2,177",https://www.wish.com/product/618a197b279348128e81e00f
6,1-6 Years Baby Kid Girls Clothes African Boho Style Printed Off Shoulder Dress Top,Rs559,https://www.wish.com/product/6077ff36fc2c0188801e493b
7,3D Printed Harajuku T-shirts,"Rs1,339",https://www.wish.com/product/61075fa399e3170096217b58
8,2021 3D French Bull Dog T-Shirt,"Rs1,341",https://www.wish.com/product/609360bb95d468955d45828a
9,Anime DARLING T-shirt Unisex Hip-hop,"Rs1,345",https://www.wish.com/product/615a72b412d05444c23ab4a4
10,3D Print Harley Quinn Joker T-Shirt,"Rs1,329",https://www.wish.com/product/5f86f88a5a24f231bbfe8f6d
11,Men's Ronaldo 3D T-Shirt - Summer Fashion,"Rs1,341",https://www.wish.com/product/61c2806330267de93df875af
12,3D Print Dolphin T-Shirt,"Rs1,343",https://www.wish.com/product/62dfbd5f3e5d16a6c3797e65
13,Men/Women Summer Casual T-Shirts XS-4XL,"Rs2,566",https://www.wish.com/product/63b5512ed76316770262d670
14,Unisex 3D Bull Terrier T-shirt,"Rs1,345",https://www.wish.com/product/618caf9e019b749e805a721b
15,3D Print Harley Quinn T-Shirt,"Rs1,319",https://www.wish.com/product/5f66ce7b5167ff7798b4cfe3
16,Men's Dua Lipa 3D T-Shirt,"Rs1,118",https://www.wish.com/product/60efcd557a6cd15e3d5142cb
17,Shania Twain 3D T-shirt Unisex Summer Top,"Rs1,341",https://www.wish.com/product/61934c140487b9908229e3b9
18,FFVII Tifa 3D Print Summer T-Shirt XS-5XL,"Rs1,341",https://www.wish.com/product/61b44aa223e03a903dd12360
19,Cyberpunk 2077 3D T-shirt Men's Fashion Casual,"Rs1,325",https://www.wish.com/product/5fddc5ec32bbe107efd2ac68
20,Rihanna 3D Printed T-Shirt XS-5XL,"Rs1,345",https://www.wish.com/product/60988cde4bfc5207d6b58239
